name,mass,radius,period,semi_major_axis,temperature,distance_light_year,host_star_mass,host_star_temperature
HD 179949 b,0.916,,3.092514,0.0443,,89.63,1.21,6168
HD 50554 b,4.954,,1293,2.353,,101.73,1.04,5987
HD 33564 b,9.1,,388,1.1,,68.4,1.25,6250
HIP 38594 b [ja],0.026,,60.711,0.256,,58,0.61,
HIP 38594 c,0.135,,3525,3.842,,58,0.61,
HD 16175 b,5.1,,990,2.12,,195.57,1.63,5981
HIP 48714 b,0.071,,17.819,0.112,,34.3,0.58,
SAND978 b,2.18,,511.21,,,2051.3,1.37,4200
Beta Cancri b,7.8,,605.2,1.7,,290.4,1.7,4092.1
HD 104067 b,0.16,,55.806,0.26,,66.47,0.62,4937
HD 28185 b,5.9,,379,1.02,,128.61,1.02,5662
HD 108147 b,0.261,,10.8985,0.102,890,127.07,1.27,6265
HD 111232 b,7.14,,1143,1.97,,94.52,0.84,5512
HD 38283 b,0.4,,363.2,1.02,,124.27,1.37,5981
HD 141399 b,0.451,,94.44,0.415,,118,1.07,5600
HD 141399 c,1.33,,201.99,0.689,,118,1.07,5600
HD 141399 d,1.18,,1069.8,2.09,,118,1.07,5600
HD 141399 e,0.66,,5000,5,,118,1.07,5600
HD 208527 b,9.9,,875.5,2.1,,1148.4,1.6,4035
HD 203473 b,7.8,,1552.9,2.73,,237,1.12,5780
TOI-2184 b,0.65,1.017,6.90683,,,2515,1.53,5966
HD 11755 b,6.5,,433.7,1.08,,755,0.9,4312.5
HD 192263 b,0.56,,24.3556,0.15,486,64.08,0.66,4976
TOI-1201 b,0.0198,0.216,2.491986,0.0287,703,122.77,0.512,3476
HD 180617 b,0.03839,,105.9,0.3357,,19.28,0.45,3557
HD 169830 b,2.88,,225.62,0.81,345,122.77,1.4,6299
HD 169830 c,4.04,,2102,3.6,,122.77,1.4,6299
BD-17 63 b,5.1,,655.6,1.34,,112.49,0.74,4714
HD 42618 b [id],0.04531,,149.61,0.554,337,77,1.01,5727
HD 168443 b,7.659,,58.11247,0.2931,,129.4,0.995,5491
HD 168443 c,17.193,,1749.83,2.8373,,129.39,0.99,5491
HD 190007 b,0.052,,11.72,,,41.47,0.77,4610
HD 290327 b,2.43,,2443,3.43,,184.35,0.84,5505
HD 202696 b,1.996,,517.8,1.566,,618.3,1.91,5040
HD 202696 c,1.864,,946.6,2.342,,618.3,1.91,5040
HD 87883 b,1.54,,2754,3.58,,59.69,0.66,4915
HD 95872 b,4.6,,4375,5.2,,236,0.95,5312
HD 164604 b,1.99792,,641.472,1.331,,128.54,0.77,4684
HD 360 b,0.75,,273.1,0.98,,362,1.69,4770
HD 103774 b,0.367,,5.8881,0.07,,173.1,1.33,6489
TOI-1231 b,0.0485,0.326,24.245586,0.1288,330,89.68,0.485,3553
HD 132406 b,5.38,,974,1.98,,231.35,1.03,5783
HD 181234 b,8.37,,7462.0575,12.4,,155.9,1.01,5386
HD 206255 b,0.108,,96.045,0.461,,245.9,1.42,5635
HD 4308 b,0.05,,15.56,0.12,,71.85,0.93,5686
PSR J1719-1438 b,1.2,,0.090706,0.0044,,3914,1.4,4500
HD 81040 b,7.27,,1001.7,1.94,,112.43,1.05,5755
HD 215497 b,0.02,,3.93404,0.05,,132.39,0.67,5110
HD 215497 c,0.33,,567.94,1.282,,132.39,0.67,5110
HD 170469 b,0.66,,1145,2.24,,196.61,1.1,5842
HD 32963 b,0.7,,2372,3.41,,114.9,0.94,5727
HD 159243 b,1.13,,12.62,0.11,,223.7,1.12,6123
HD 159243 c [fr],1.9,,248.4,0.8,,223.7,1.12,6123
HD 155358 b,0.99,,194.3,0.63,,142.44,1.15,5905
HD 155358 c,0.82,,391.9,1.02,,142.44,1.15,5905
WASP-150 b,8.46,1.07,5.644207,0.0694,1460,2422,1.394,6218
HD 6434 b,0.49,,21.998,0.14,,138.33,1.1,5769
HD 213885 b,0.0278,0.1557,1.008035,0.02012,,156.45721,1.068,5978
HD 213885 c,0.06277,,4.78503,0.056798,1265.4,156.45721,1.068,5978
HD 103720 b,0.62,,4.5557,0.0498,,136,0.79,5017
HD 150706 b,2.71,,5894,6.7,,88.8,1.17,5961
HD 220689 b,1.06,,2209,3.36,,147.5,1.04,5921
HD 131399 Ab,4,,200000,80,850,320,2.08,940
KIC 8121913 b,2.1,,3.294601,,,2350,1.456,5975.3
HD 70642 b,1.993,,2124.54,3.318,,95.57,1.08,5732
HD 114386 b,1.14,,937.7,1.73,,91.16,0.6,4836
HD 110113 b,0.0143,0.183,2.541,0.035,1371,346.5,0.99,5730
HD 110113 c,0.033,,6.744,0.068,990,346.5,0.99,5730
HD 76700 b,0.21,,3.97097,0.05,,198.93,0.99,5644
